# Transformer-Based Methods (including Mamba)

| Method | Year | Category | Code Link |
|--------|------|----------|-----------|
| CAIN | 2020 | Transformer | [GitHub](https://github.com/myungsub/CAIN) |
| VFIT | 2022 | Transformer | [GitHub](https://github.com/zhshi0816/Video-Frame-Interpolation-Transformer) |
| VFIformer | 2022 | Transformer | [GitHub](https://github.com/dvlab-research/VFIformer) |
| Plack et al. | 2022 | Transformer | 暂未找到官方代码仓库 |
| EMA-VFI | 2023 | Transformer | [GitHub](https://github.com/MCG-NJU/EMA-VFI) |
| VFIFT | 2023 | Transformer | 暂未找到官方代码仓库 |
| Swin-VFI | 2024 | Transformer | 暂未找到官方代码仓库 |
| PSTA | 2024 | Transformer | 暂未找到官方代码仓库 |
| VFIMamba | 2024 | Mamba | 暂未找到官方代码仓库 |
| LC-Mamba | 2025 | Mamba | [GitHub](https://github.com/Miinuuu/LC-Mamba.git) |
